Plant Name,Soil Type,pH Level,Climate,Irrigation Type,Organic Matter %,Fertilizer Type
Pusa Basmati 1509,Loamy,6.5,Temperate,Drip,2.9,NPK 20-10-10
Rajendra Bhagwati,Loamy,6.5,Temperate,Drip,3.1,NPK 20-15-15
Sambha Mahsuri,Loamy,6.0,Tropical,Drip,2.7,NPK 15-10-10
Jaya,Loamy,6.5,Temperate,Drip,3.0,NPK 25-15-15
Rasi,Loamy,6.0,Tropical,Drip,3.4,NPK 20-10-10
ADT 39,Loamy,6.5,Tropical,Drip,4.0,NPK 15-10-10
Ponmani,Loamy,6.2,Temperate,Surface,4.2,NPK 20-10-10
CR 1009,Loamy,6.0,Tropical,Drip,3.5,NPK 20-10-10
Ponni,Loamy,6.5,Tropical,Drip,5.0,NPK 15-10-10
Kavuni,Loamy,6.0,Temperate,Surface,5.5,NPK 10-10-10
Chitti Mutyalu,Loamy,6.5,Temperate,Surface,4.5,NPK 20-15-10
Jeera Samba,Loamy,6.2,Temperate,Surface,4.0,NPK 10-10-10
Kagga,Loamy,6.0,Tropical,Drip,4.3,NPK 25-15-15
HMT,Loamy,6.5,Temperate,Surface,3.8,NPK 15-10-10
IR64,Loamy,6.0,Tropical,Drip,4.0,NPK 20-15-15
Swarna,Loamy,6.2,Temperate,Surface,5.0,NPK 20-10-10
BPT 5204,Loamy,6.5,Tropical,Surface,4.2,NPK 20-15-15
MTU1010,Loamy,6.0,Tropical,Drip,4.5,NPK 25-20-15
MTU7029,Loamy,6.5,Temperate,Surface,3.5,NPK 15-10-10
Pusa Basmati 1121,Loamy,6.0,Tropical,Drip,4.0,NPK 20-10-10
Pusa Basmati 1509,Loamy,6.0,Temperate,Surface,4.5,NPK 20-10-10
Rajendra Bhagwati,Loamy,6.5,Temperate,Surface,4.8,NPK 15-10-10
Sambha Mahsuri,Loamy,6.3,Temperate,Surface,4.2,NPK 15-10-10
Jaya,Loamy,6.5,Temperate,Surface,4.0,NPK 10-10-10
Rasi,Loamy,6.2,Tropical,Drip,4.5,NPK 20-15-15
ADT 39,Loamy,6.0,Tropical,Drip,3.8,NPK 20-10-10
Ponmani,Loamy,6.5,Temperate,Surface,3.7,NPK 10-10-10
CR 1009,Loamy,6.2,Temperate,Surface,4.0,NPK 15-10-10
Ponni,Loamy,6.5,Tropical,Surface,5.0,NPK 15-15-15
Kavuni,Loamy,6.0,Tropical,Drip,4.3,NPK 20-10-10
Chitti Mutyalu,Loamy,6.2,Temperate,Surface,3.9,NPK 15-10-10
Jeera Samba,Loamy,6.0,Tropical,Drip,4.1,NPK 10-10-10
Kagga,Loamy,6.5,Temperate,Surface,4.0,NPK 20-10-10
HMT,Sandy Loam,6.5,Arid,Drip,2.0,NPK 10-40-10
IR64,Sandy,6.2,Subtropical,Drip,1.8,NPK 20-20-20
Swarna,Sandy,6.0,Arid,Drip,1.5,NPK 10-10-10
BPT 5204,Sandy Loam,6.3,Temperate,Drip,1.7,NPK 5-10-10
MTU1010,Sandy,6.2,Arid,Drip,1.6,NPK 10-15-10
MTU7029,Sandy Loam,6.5,Arid,Drip,2.2,NPK 5-10-10
Pusa Basmati 1121,Sandy,6.0,Subtropical,Drip,1.9,NPK 15-15-15
Pusa Basmati 1509,Sandy Loam,6.1,Subtropical,Drip,1.8,NPK 10-20-10
Rajendra Bhagwati,Sandy,6.0,Temperate,Drip,1.5,NPK 10-10-10
Sambha Mahsuri,Sandy,6.3,Arid,Drip,1.6,NPK 10-20-10
Jaya,Sandy Loam,6.4,Mediterranean,Drip,1.7,NPK 10-10-10
Rasi,Sandy,6.2,Arid,Drip,1.4,NPK 10-10-10
ADT 39,Sandy,6.0,Arid,Drip,1.5,NPK 5-5-5
Ponmani,Sandy,6.5,Arid,Drip,1.3,NPK 2-7-7
CR 1009,Sandy Loam,6.1,Subtropical,Drip,1.8,NPK 10-15-10
Ponni,Sandy,6.3,Arid,Drip,1.5,NPK 5-10-10
Kavuni,Sandy Loam,6.4,Tropical,Drip,1.7,NPK 10-10-10
Chitti Mutyalu,Sandy,6.2,Tropical,Drip,1.9,NPK 15-15-15
Jeera Samba,Sandy,6.1,Arid,Drip,1.6,NPK 10-20-10
Kagga,Sandy,6.2,Arid,Drip,1.5,NPK 5-5-5
HMT,Sandy Loam,6.3,Subtropical,Drip,1.7,NPK 10-10-10
IR64,Sandy,6.5,Arid,Drip,2.0,NPK 5-10-10
Swarna,Sandy,6.2,Arid,Drip,1.4,NPK 5-5-5
BPT 5204,Sandy,6.0,Arid,Drip,1.3,NPK 10-10-10
MTU1010,Sandy,6.2,Arid,Drip,1.4,NPK 5-5-5
MTU7029,Sandy,6.3,Arid,Drip,1.4,NPK 5-5-10
Pusa Basmati 1121,Sandy,6.2,Arid,Drip,1.3,NPK 10-15-10
Pusa Basmati 1509,Sandy,6.0,Arid,Drip,1.3,NPK 10-10-10
Rajendra Bhagwati,Sandy,6.1,Arid,Drip,1.4,NPK 5-5-10
Sambha Mahsuri,Loamy,6.0,Tropical,Submerged,10.0,NPK 20-10-10
Jaya,Loamy,6.5,Tropical,Submerged,12.0,NPK 25-15-15
Rasi,Loamy,6.0,Tropical,Submerged,15.0,NPK 30-10-10
ADT 39,Loamy,6.5,Tropical,Submerged,8.0,NPK 10-5-5
Ponmani,Loamy,6.2,Tropical,Submerged,20.0,NPK 15-10-10
CR 1009,Loamy,6.0,Tropical,Submerged,18.0,NPK 20-10-10
Ponni,Loamy,6.3,Tropical,Submerged,25.0,NPK 25-15-15
Kavuni,Loamy,6.5,Tropical,Submerged,12.0,NPK 20-10-10
Chitti Mutyalu,Loamy,6.0,Tropical,Submerged,15.0,NPK 10-10-10
Jeera Samba,Loamy,6.5,Tropical,Submerged,10.0,NPK 20-15-15
Kagga,Loamy,6.2,Tropical,Submerged,8.0,NPK 15-10-10
HMT,Loamy,6.5,Tropical,Submerged,12.0,NPK 20-10-10
IR64,Loamy,6.4,Tropical,Submerged,18.0,NPK 25-15-15
Swarna,Loamy,6.2,Tropical,Submerged,10.0,NPK 10-10-10
BPT 5204,Loamy,6.0,Tropical,Submerged,15.0,NPK 15-10-10
MTU1010,Loamy,6.5,Tropical,Submerged,12.0,NPK 20-15-15
MTU7029,Loamy,6.0,Tropical,Submerged,10.0,NPK 25-10-10
Pusa Basmati 1121,Loamy,6.5,Tropical,Submerged,18.0,NPK 20-10-10
Pusa Basmati 1509,Loamy,6.0,Tropical,Submerged,14.0,NPK 15-10-10
Rajendra Bhagwati,Loamy,6.2,Tropical,Submerged,20.0,NPK 25-10-10
Sambha Mahsuri,Loamy,6.0,Tropical,Submerged,16.0,NPK 30-15-15
Jaya,Loamy,6.3,Tropical,Submerged,12.0,NPK 20-10-10
Rasi,Loamy,6.4,Tropical,Submerged,15.0,NPK 15-10-10
ADT 39,Loamy,6.5,Tropical,Submerged,18.0,NPK 25-15-15
Ponmani,Loamy,6.0,Tropical,Submerged,14.0,NPK 20-15-15
CR 1009,Loamy,6.5,Tropical,Submerged,20.0,NPK 30-10-10
Ponni,Loamy,6.3,Tropical,Submerged,10.0,NPK 25-10-10
Kavuni,Loamy,6.0,Tropical,Drip,20.0,NPK 10-10-10
Chitti Mutyalu,Loamy,6.5,Tropical,Drip,18.0,NPK 15-10-10
Jeera Samba,Loamy,6.2,Tropical,Drip,25.0,NPK 20-15-15
Kagga,Loamy,6.0,Tropical,Drip,22.0,NPK 10-15-15
HMT,Loamy,6.0,Subtropical,Drip,20.0,NPK 15-10-10
IR64,Loamy,6.5,Temperate,Drip,18.0,NPK 20-15-15
Swarna,Loamy,6.0,Temperate,Drip,23.0,NPK 10-10-10
BPT 5204,Loamy,6.5,Tropical,Drip,20.0,NPK 25-15-15
MTU1010,Loamy,6.3,Tropical,Drip,25.0,NPK 20-10-10
MTU7029,Loamy,6.5,Tropical,Drip,20.0,NPK 15-10-10
Pusa Basmati 1121,Loamy,6.2,Tropical,Drip,18.0,NPK 10-15-15
Pusa Basmati 1509,Loamy,6.3,Tropical,Drip,19.0,NPK 20-15-15
Rajendra Bhagwati,Loamy,6.0,Tropical,Drip,22.0,NPK 20-10-10
Sambha Mahsuri,Loamy,6.5,Tropical,Drip,18.0,NPK 15-10-10
Jaya,Loamy,6.0,Temperate,Drip,17.0,NPK 10-10-10
Rasi,Loamy,6.5,Temperate,Drip,20.0,NPK 15-10-10
ADT 39,Loamy,6.0,Tropical,Drip,20.0,NPK 25-20-15
Ponmani,Loamy,6.3,Tropical,Drip,25.0,NPK 20-15-15
CR 1009,Loamy,6.2,Tropical,Drip,18.0,NPK 10-15-15
Ponni,Loamy,6.0,Tropical,Drip,19.0,NPK 15-10-10
Kavuni,Loamy,6.5,Temperate,Drip,20.0,NPK 20-10-10
Chitti Mutyalu,Loamy,6.3,Tropical,Drip,17.0,NPK 15-10-10
Jeera Samba,Loamy,6.0,Tropical,Drip,22.0,NPK 10-15-15
Kagga,Loamy,6.5,Temperate,Drip,21.0,NPK 20-10-10
HMT,Loamy,6.2,Temperate,Drip,20.0,NPK 15-10-10
IR64,Loamy,6.5,Tropical,Drip,20.0,NPK 10-15-15
Swarna,Well-drained Loamy,6.5,Subtropical,Drip,2.5,NPK 10-10-10
BPT 5204,Loamy,6.2,Tropical,Drip,3.5,NPK 20-10-10
MTU1010,Loamy,6.5,Temperate,Drip,2.8,NPK 15-10-10
MTU7029,Sandy Loam,6.0,Tropical,Drip,2.0,NPK 10-10-10
Pusa Basmati 1121,Loamy,6.3,Tropical,Drip,3.0,NPK 20-10-10
Pusa Basmati 1509,Loamy,6.1,Tropical,Drip,3.2,NPK 15-10-10
Rajendra Bhagwati,Loamy,6.5,Tropical,Drip,3.0,NPK 20-20-20
Sambha Mahsuri,Loamy,6.3,Tropical,Drip,3.5,NPK 20-10-10
Jaya,Loamy,6.4,Tropical,Drip,3.2,NPK 10-10-10
Rasi,Well-drained Loamy,6.3,Tropical,Drip,2.7,NPK 10-15-10
ADT 39,Sandy Loam,6.5,Arid,Drip,2.0,NPK 10-40-10
Ponmani,Loamy,6.5,Tropical,Drip,3.3,NPK 20-20-20
CR 1009,Loamy,6.2,Tropical,Drip,3.4,NPK 20-10-10
Ponni,Loamy,6.0,Tropical,Drip,3.5,NPK 15-10-15
Kavuni,Loamy,6.5,Tropical,Drip,3.0,NPK 15-5-10
Chitti Mutyalu,Loamy,6.4,Tropical,Drip,3.5,NPK 20-10-10
Jeera Samba,Loamy,6.0,Tropical,Drip,3.2,NPK 15-10-10
Kagga,Loamy,6.3,Tropical,Drip,3.1,NPK 20-10-10
HMT,Loamy,6.5,Tropical,Drip,3.5,NPK 20-10-10
IR64,Loamy,6.2,Temperate,Drip,2.9,NPK 10-10-10
Swarna,Loamy,6.0,Tropical,Drip,3.2,NPK 15-10-10
BPT 5204,Loamy,6.4,Tropical,Drip,2.8,NPK 10-10-10
MTU1010,Sandy Loam,6.1,Subtropical,Drip,2.5,NPK 10-10-10
MTU7029,Loamy,6.3,Subtropical,Drip,3.1,NPK 15-10-15
Pusa Basmati 1121,Loamy,6.2,Tropical,Drip,2.9,NPK 20-20-20
Pusa Basmati 1509,Loamy,6.1,Tropical,Drip,3.0,NPK 10-10-10
Rajendra Bhagwati,Loamy,6.5,Tropical,Drip,3.3,NPK 15-10-10
Sambha Mahsuri,Loamy,6.2,Tropical,Drip,3.0,NPK 20-10-10
Jaya,Sandy Loam,6.2,Subtropical,Drip,2.0,NPK 20-20-20
